ligand	cluster	run	mode	affinity	rmsd_lb	rmsd_ub	model
Glu	cl1	1	1	-5.1829	0.0	0.0	CsqR-l
Glu	cl1	1	2	-5.1671	1.1276	2.7993	CsqR-l
Glu	cl1	1	3	-5.1339	1.0646	3.6381	CsqR-l
Glu	cl1	2	1	-5.9974	0.0	0.0	CsqR-l
Glu	cl1	2	2	-5.2459	1.2942	3.3142	CsqR-l
Glu	cl1	2	3	-4.9247	1.6178	2.5373	CsqR-l
Glu	cl1	3	1	-5.0658	0.0	0.0	CsqR-l
Glu	cl1	3	2	-5.0125	1.1275	3.647	CsqR-l
Glu	cl1	3	3	-4.6841	1.3295	2.946	CsqR-l
Glu	cl1	4	1	-5.4284	0.0	0.0	CsqR-l
Glu	cl1	4	2	-4.9509	1.3135	3.304	CsqR-l
Glu	cl1	4	3	-4.7886	1.4691	3.7956	CsqR-l
Glu	cl1	5	1	-5.5291	0.0	0.0	CsqR-l
Glu	cl1	5	2	-5.2361	1.2005	3.1426	CsqR-l
Glu	cl1	5	3	-5.1421	1.2942	2.4301	CsqR-l
Lac	cl1	1	1	-6.0858	0.0	0.0	CsqR-l
Lac	cl1	1	2	-5.4604	1.552	6.1002	CsqR-l
Lac	cl1	1	3	-5.4102	2.382	3.6077	CsqR-l
Lac	cl1	2	1	-6.1574	0.0	0.0	CsqR-l
Lac	cl1	2	2	-5.8121	1.7678	1.9114	CsqR-l
Lac	cl1	2	3	-5.4793	1.5271	6.158	CsqR-l
Lac	cl1	3	1	-6.1553	0.0	0.0	CsqR-l
Lac	cl1	3	2	-5.8031	1.7848	6.0941	CsqR-l
Lac	cl1	3	3	-5.4696	1.5172	6.1302	CsqR-l
Lac	cl1	4	1	-6.0296	0.0	0.0	CsqR-l
Lac	cl1	4	2	-5.5111	1.4389	6.1106	CsqR-l
Lac	cl1	4	3	-5.4687	1.5267	1.7616	CsqR-l
Lac	cl1	5	1	-6.0707	0.0	0.0	CsqR-l
Lac	cl1	5	2	-5.4457	1.5157	6.1365	CsqR-l
Lac	cl1	5	3	-5.4209	1.4435	5.9644	CsqR-l
SQ	cl1	1	1	-5.8598	0.0	0.0	CsqR-l
SQ	cl1	1	2	-5.7482	1.5939	2.8113	CsqR-l
SQ	cl1	1	3	-5.6221	1.2709	1.2709	CsqR-l
SQ	cl1	2	1	-5.8464	0.0	0.0	CsqR-l
SQ	cl1	2	2	-5.5803	1.533	2.9425	CsqR-l
SQ	cl1	2	3	-5.0407	1.4004	1.72	CsqR-l
SQ	cl1	3	1	-5.8761	0.0	0.0	CsqR-l
SQ	cl1	3	2	-5.5321	1.5175	2.7666	CsqR-l
SQ	cl1	3	3	-5.0852	2.3408	4.9975	CsqR-l
SQ	cl1	4	1	-5.8551	0.0	0.0	CsqR-l
SQ	cl1	4	2	-5.4937	1.5014	2.8875	CsqR-l
SQ	cl1	4	3	-4.9973	2.595	4.9318	CsqR-l
SQ	cl1	5	1	-5.9648	0.0	0.0	CsqR-l
SQ	cl1	5	2	-5.6345	1.4855	2.9304	CsqR-l
SQ	cl1	5	3	-4.8253	10.1589	11.6512	CsqR-l
